mass,effs
2.01,0.42285
2.02005,0.423066
2.03015,0.427952
2.0403,0.432157
2.0505,0.430872
2.06076,0.432409
2.07106,0.434431
2.08141,0.435926
2.09182,0.435777
2.10228,0.438154
2.11279,0.439745
2.12336,0.440413
2.13397,0.441148
2.14464,0.44295
2.15537,0.442585
2.16614,0.442797
2.17697,0.445146
2.18786,0.448563
2.1988,0.45187
2.20979,0.453373
2.22084,0.453791
2.23194,0.456037
2.2431,0.458363
2.25432,0.461461
2.26559,0.464272
2.27692,0.465137
2.2883,0.466262
2.29974,0.470281
2.31124,0.470115
2.3228,0.472007
2.33441,0.47426
2.34609,0.475392
2.35782,0.478465
2.3696,0.481177
2.38145,0.48412
2.39336,0.484773
2.40533,0.485124
2.41735,0.488048
2.42944,0.490175
2.44159,0.492599
2.4538,0.494587
2.46606,0.498058
2.47839,0.499213
2.49079,0.500893
2.50324,0.501693
2.51576,0.504024
2.52834,0.505164
2.54098,0.505199
2.55368,0.50679
2.56645,0.505486
2.57928,0.507026
2.59218,0.508439
2.60514,0.510553
2.61817,0.511973
2.63126,0.515137
2.64441,0.516034
2.65763,0.517344
2.67092,0.517037
2.68428,0.517578
2.6977,0.519059
2.71119,0.521116
2.72474,0.521669
2.73837,0.523183
2.75206,0.526139
2.76582,0.527653
2.77965,0.528432
2.79355,0.530867
2.80751,0.532315
2.82155,0.53399
2.83566,0.535054
2.84984,0.533978
2.86409,0.536348
2.87841,0.538019
2.8928,0.540656
2.90726,0.542308
2.9218,0.546861
2.93641,0.546317
2.95109,0.548938
2.96585,0.549831
2.98068,0.551283
2.99558,0.552048
3.01056,0.55267
3.02561,0.554568
3.04074,0.559009
3.05594,0.560772
3.07122,0.561587
3.08658,0.561967
3.10201,0.563292
3.11752,0.566533
3.13311,0.566739
3.14877,0.567719
3.16452,0.569827
3.18034,0.570472
3.19624,0.571207
3.21222,0.574298
3.22828,0.575113
3.24443,0.577825
3.26065,0.577313
3.27695,0.57913
3.29334,0.579271
3.3098,0.581218
3.32635,0.581196
3.34298,0.581746
3.3597,0.58141
3.3765,0.581341
3.39338,0.580946
3.41035,0.581591
3.4274,0.583624
3.44453,0.583835
3.46176,0.584784
3.47907,0.584923
3.49646,0.584939
3.51394,0.58621
3.53151,0.5877
3.54917,0.587147
3.56692,0.588495
3.58475,0.59004
3.60268,0.590125
3.62069,0.592229
3.63879,0.593552
3.65699,0.594656
3.67527,0.595479
3.69365,0.59497
3.71212,0.595845
3.73068,0.597192
3.74933,0.598187
3.76808,0.598105
3.78692,0.599509
3.80585,0.601091
3.82488,0.60232
3.844,0.60388
3.86322,0.60525
3.88254,0.606561
3.90195,0.60643
3.92146,0.607369
3.94107,0.607448
3.96078,0.608292
3.98058,0.60908
4.00048,0.610033
4.02049,0.610779
4.04059,0.612052
4.06079,0.611752
4.08109,0.612265
4.1015,0.613163
4.12201,0.612801
4.14262,0.611963
4.16333,0.610919
4.18415,0.611211
4.20507,0.612528
4.22609,0.61344
4.24722,0.613402
4.26846,0.613923
4.2898,0.614549
4.31125,0.61476
4.33281,0.61413
4.35447,0.614905
4.37624,0.615511
4.39812,0.616783
4.42012,0.617249
4.44222,0.616385
4.46443,0.616839
4.48675,0.617171
4.50918,0.617346
4.53173,0.617168
4.55439,0.616433
4.57716,0.616322
4.60005,0.616297
4.62305,0.616398
4.64616,0.61748
4.66939,0.617476
4.69274,0.61759
4.7162,0.617932
4.73978,0.618667
4.76348,0.619264
4.7873,0.619531
4.81124,0.619833
4.83529,0.618833
4.85947,0.618803
4.88377,0.617791
4.90818,0.617974
4.93273,0.617832
4.95739,0.617523
4.98218,0.617418
5.00709,0.616684
5.03212,0.616045
5.05728,0.615239
5.08257,0.615136
5.10798,0.615271
5.13352,0.615119
5.15919,0.616084
5.18499,0.615785
5.21091,0.614878
5.23697,0.615029
5.26315,0.615482
5.28947,0.614562
5.31591,0.614712
5.34249,0.614736
5.3692,0.615642
5.39605,0.614741
5.42303,0.61441
5.45015,0.613926
5.4774,0.614297
5.50478,0.614772
5.53231,0.61454
5.55997,0.614449
5.58777,0.61424
5.61571,0.615766
5.64379,0.616277
5.67201,0.616558
5.70037,0.617252
5.72887,0.61793
5.75751,0.619854
5.7863,0.620039
5.81523,0.620441
5.84431,0.621669
5.87353,0.62191
5.9029,0.623176
5.93241,0.624359
5.96207,0.624089
5.99188,0.624443
6.02184,0.625081
6.05195,0.625077
6.08221,0.625771
6.11262,0.62624
6.14319,0.626956
6.1739,0.628055
6.20477,0.629545
6.2358,0.630206
6.26697,0.6301
6.29831,0.631431
6.3298,0.63351
6.36145,0.635153
6.39326,0.635664
6.42522,0.63593
6.45735,0.637021
6.48964,0.636436
6.52209,0.635831
6.5547,0.636416
6.58747,0.637025
6.62041,0.637588
6.65351,0.637147
6.68678,0.636617
6.72021,0.637002
6.75381,0.638061
6.78758,0.638638
6.82152,0.638501
6.85563,0.638499
6.8899,0.637488
6.92435,0.636941
6.95898,0.637542
6.99377,0.637215
7.02874,0.636151
7.06388,0.635193
7.0992,0.633556
7.1347,0.633181
7.17037,0.63158
7.20622,0.628256
7.24226,0.62534
7.27847,0.623627
7.31486,0.621878
7.35143,0.619021
7.38819,0.617015
7.42513,0.614167
7.46226,0.611113
7.49957,0.607037
7.53707,0.603571
7.57475,0.599701
7.61263,0.595401
7.65069,0.590537
7.68894,0.583393
7.72739,0.576992
7.76602,0.570782
7.80485,0.563498
7.84388,0.556268
7.8831,0.549252
7.92251,0.541407
7.96213,0.5324
8.00194,0.513666
